dig,dump,it
1525,1023,938
1525,1023,939
1525,1023,940
1525,1023,941
1525,1023,942
1525,1023,943
1525,1023,944
1525,1023,945
1525,1023,946
1525,1023,947
1525,1023,948
1525,1023,949
1525,1023,950
1525,1023,951
1525,1023,952
1525,1023,953
1525,1023,954
1525,1023,955
1525,1023,956
1525,1023,957
1525,1023,958
1525,1023,959
1525,1023,960
1525,1023,961
1525,1023,962
1525,1023,963
1525,1023,964
1525,1023,965
1525,1023,966
1525,1023,967
1525,1023,968
1525,1023,969
1525,1023,970
1525,1023,971
1525,1023,972
1525,1023,973
1525,1023,974
1525,1023,975
1525,1023,976
1525,1023,977
1525,1023,978
1525,1023,979
1525,1023,980
1525,1023,981
1525,1023,982
1525,1023,983
1525,1023,984
1525,1023,985
1525,1023,986
1525,1023,987
1525,1023,988
1525,1023,989
1525,1023,990
1525,1023,991
1525,1023,992
1525,1023,993
1525,1023,994
1525,1023,995
1525,1023,996
1525,1023,997
1525,1023,998
1525,1023,999
1525,1023,1000
1525,1023,1001
1525,1023,1002
1525,1023,1003
1525,1023,1004
1525,1023,1005
1525,1023,1006
1525,1023,1007
1525,1023,1008
1525,1023,1009
1525,1023,1010
1525,1023,1011
1525,1023,1012
1525,1023,1013
1525,1023,1014
1525,1023,1015
1525,1023,1016
1525,1023,1017
1525,1023,1018
1525,1023,1019
1525,1023,1020
1525,1023,1021
1525,1023,1022
1525,1023,1023
1525,1025,1024
1525,1029,1025
1525,1035,1026
1525,1044,1027
1525,1053,1028
1525,1062,1029
1525,1071,1030
1525,1080,1031
1525,1089,1032
1525,1098,1033
1525,1107,1034
1525,1116,1035
1525,1125,1036
1525,1134,1037
1525,1143,1038
1525,1152,1039
1525,1161,1040
1525,1170,1041
1525,1179,1042
1525,1188,1043
1525,1197,1044
1525,1206,1045
1525,1215,1046
1525,1224,1047
1525,1233,1048
1525,1242,1049
1525,1251,1050
1525,1260,1051
1525,1269,1052
1525,1278,1053
1525,1287,1054
1525,1296,1055
1525,1305,1056
1525,1314,1057
1525,1323,1058
1525,1332,1059
1525,1341,1060
1525,1350,1061
1525,1359,1062
1525,1368,1063
1525,1377,1064
1525,1386,1065
1525,1395,1066
1525,1404,1067
1525,1413,1068
1525,1422,1069
1525,1431,1070
1525,1440,1071
1525,1449,1072
1525,1458,1073
1525,1467,1074
1525,1476,1075
1525,1485,1076
1525,1494,1077
1525,1503,1078
1525,1512,1079
1525,1521,1080
1525,1530,1081
1525,1530,1082
1525,1530,1083
1525,1530,1084
1525,1530,1085
1525,1530,1086
1525,1530,1087
1525,1530,1088
1525,1530,1089
1525,1530,1090
1525,1530,1091
1525,1530,1092
1525,1530,1093
1525,1530,1094
1525,1530,1095
1525,1530,1096
1525,1530,1097
1525,1530,1098
1525,1530,1099
1525,1530,1100
1525,1530,1101
1525,1530,1102
1525,1530,1103
1525,1530,1104
1525,1530,1105
1525,1530,1106
1525,1530,1107
1525,1530,1108
1525,1530,1109
1525,1530,1110
1525,1530,1111
1525,1530,1112
1525,1530,1113
1525,1530,1114
1525,1530,1115
1525,1530,1116
1525,1530,1117
1525,1530,1118
1525,1530,1119
1525,1530,1120
1525,1530,1121
1525,1530,1122
1525,1530,1123
1525,1530,1124
1525,1530,1125
1525,1530,1126
1525,1530,1127
1525,1530,1128
1525,1530,1129
1525,1530,1130
1525,1530,1131
1525,1530,1132
1525,1530,1133
1525,1530,1134
1525,1530,1135
1525,1530,1136
1525,1530,1137
1525,1530,1138
1525,1530,1139
1525,1530,1140
1525,1530,1141
1525,1530,1142
1525,1530,1143
1525,1530,1144
1525,1530,1145
1525,1530,1146
1525,1530,1147
1525,1530,1148
1525,1530,1149
1525,1530,1150
1525,1530,1151
1525,1530,1152
1525,1530,1153
1525,1530,1154
1525,1530,1155
1525,1530,1156
1525,1530,1157
1525,1530,1158
1525,1530,1159
1525,1530,1160
1525,1530,1161
1525,1530,1162
1525,1530,1163
1525,1530,1164
1525,1530,1165
1525,1530,1166
1525,1530,1167
1525,1530,1168
1525,1530,1169
1525,1530,1170
1525,1530,1171
1525,1530,1172
1525,1530,1173
1525,1530,1174
1525,1530,1175
1525,1530,1176
1525,1530,1177
1525,1530,1178
1525,1530,1179
1525,1530,1180
1525,1530,1181
1525,1530,1182
1525,1530,1183
1525,1530,1184
1525,1530,1185
1525,1530,1186
1525,1530,1187
1525,1530,1188
1525,1530,1189
1525,1530,1190
1525,1530,1191
1525,1530,1192
1525,1530,1193
1525,1530,1194
1525,1530,1195
1525,1530,1196
1525,1530,1197
1525,1530,1198
1525,1530,1199
1525,1530,1200
1525,1530,1201
1525,1530,1202
1525,1530,1203
1525,1530,1204
1525,1530,1205
1525,1530,1206
1525,1530,1207
1525,1530,1208
1525,1530,1209
1525,1530,1210
1525,1530,1211
1525,1530,1212
1525,1530,1213
1525,1530,1214
1525,1530,1215
1525,1530,1216
1525,1530,1217
1525,1530,1218
1525,1530,1219
1525,1530,1220
1525,1530,1221
1525,1530,1222
1525,1530,1223
1525,1530,1224
1525,1530,1225
1525,1530,1226
1525,1530,1227
1525,1530,1228
1525,1530,1229
1525,1530,1230
1525,1530,1231
1525,1530,1232
1525,1530,1233
1525,1530,1234
1525,1530,1235
1525,1530,1236
1525,1530,1237
1525,1530,1238
1525,1530,1239
1525,1530,1240
1525,1530,1241
1525,1530,1242
1525,1530,1243
1525,1530,1244
1525,1530,1245
1525,1530,1246
1525,1530,1247
1525,1530,1248
1525,1530,1249
1525,1530,1250
1525,1530,1251
1525,1530,1252
1525,1530,1253
1525,1530,1254
1525,1530,1255
1525,1530,1256
1525,1530,1257
1525,1530,1258
1525,1530,1259
1525,1530,1260
1525,1530,1261
1525,1530,1262
1525,1530,1263
1525,1530,1264
1525,1530,1265
1525,1530,1266
1525,1530,1267
1525,1530,1268
1525,1530,1269
1525,1530,1270
1525,1530,1271
1525,1530,1272
1525,1530,1273
1525,1530,1274
1525,1530,1275
1525,1530,1276
1525,1530,1277
1525,1530,1278
1525,1530,1279
1525,1530,1280
1525,1530,1281
1525,1530,1282
1525,1530,1283
1525,1530,1284
1525,1530,1285
1525,1530,1286
1525,1530,1287
1525,1530,1288
1525,1530,1289
1525,1530,1290
1525,1530,1291
1525,1530,1292
1525,1530,1293
1525,1530,1294
1525,1530,1295
1525,1530,1296
1525,1530,1297
1525,1530,1298
1525,1530,1299
1525,1530,1300
1525,1530,1301
1525,1530,1302
1525,1530,1303
1525,1530,1304
1525,1530,1305
1525,1530,1306
1525,1530,1307
1525,1530,1308
1525,1530,1309
1525,1530,1310
1525,1530,1311
1525,1530,1312
1525,1530,1313
1525,1530,1314
1525,1530,1315
1525,1530,1316
1525,1530,1317
1525,1530,1318
1525,1530,1319
1525,1530,1320
1525,1530,1321
1525,1530,1322
1525,1530,1323
1525,1530,1324
1525,1530,1325
1525,1530,1326
1525,1530,1327
1525,1530,1328
1525,1530,1329
1525,1530,1330
1525,1530,1331
1525,1530,1332
1525,1530,1333
1525,1530,1334
1525,1530,1335
1525,1530,1336
1525,1530,1337
1525,1530,1338
1527,1530,1339
1527,1530,1340
1527,1530,1341
1527,1530,1342
1527,1530,1343
1527,1530,1344
1527,1530,1345
1527,1530,1346
1527,1530,1347
1527,1530,1348
1530,1530,1349
1530,1530,1350
1530,1530,1351
1530,1530,1352
1530,1530,1353
1530,1530,1354
1530,1530,1355
1530,1530,1356
1530,1530,1357
1543,1530,1358
1551,1530,1359
1560,1530,1360
1569,1530,1361
1578,1530,1362
1583,1530,1363
1588,1530,1364
1593,1530,1365
1598,1530,1366
1603,1530,1367
1608,1530,1368
1613,1530,1369
1618,1530,1370
1623,1530,1371
1628,1530,1372
1633,1530,1373
1638,1530,1374
1643,1530,1375
1648,1530,1376
1653,1530,1377
1658,1530,1378
1663,1530,1379
1668,1530,1380
1673,1530,1381
1678,1530,1382
1683,1530,1383
1688,1530,1384
1693,1530,1385
1698,1530,1386
1704,1530,1387
1711,1530,1388
1718,1530,1389
1726,1530,1390
1735,1530,1391
1744,1530,1392
1753,1530,1393
1758,1530,1394
1763,1530,1395
1768,1530,1396
1773,1530,1397
1778,1530,1398
1783,1530,1399
1788,1530,1400
1793,1530,1401
1798,1530,1402
1803,1530,1403
1808,1530,1404
1813,1530,1405
1818,1530,1406
1823,1530,1407
1828,1530,1408
1833,1530,1409
1838,1530,1410
1843,1530,1411
1848,1530,1412
1853,1530,1413
1858,1530,1414
1863,1530,1415
1868,1530,1416
1873,1530,1417
1878,1530,1418
1883,1530,1419
1888,1530,1420
1895,1530,1421
1903,1530,1422
1912,1530,1423
1921,1530,1424
1930,1530,1425
1939,1530,1426
1948,1530,1427
1957,1530,1428
1962,1530,1429
1969,1530,1430
1974,1530,1431
1981,1530,1432
1986,1530,1433
1991,1530,1434
1996,1530,1435
2001,1530,1436
2006,1530,1437
2011,1530,1438
2016,1530,1439
2021,1530,1440
2026,1530,1441
2031,1530,1442
2031,1530,1443
2031,1530,1444
2031,1530,1445
2031,1530,1446
2031,1530,1447
2031,1530,1448
2031,1530,1449
2031,1530,1450
2031,1530,1451
2031,1530,1452
2031,1530,1453
2031,1530,1454
2031,1530,1455
